index,market balance,vault balance,bet count,in play count, total in play, total exposure
90161300,252149772,293850228,14,14,46000000,206149772
90161800,252149772,293850228,14,14,46000000,206149772
90162300,252149772,293850228,14,14,46000000,206149772
90162800,252149772,293850228,14,14,46000000,206149772
90163300,252149772,293850228,14,14,46000000,206149772
90163800,252149772,293850228,14,14,46000000,206149772
90164300,252149772,293850228,14,14,46000000,206149772
90164800,252149772,293850228,14,14,46000000,206149772
90165300,252149772,293850228,14,14,46000000,206149772
90165800,252149772,293850228,14,14,46000000,206149772
90166300,252149772,293850228,14,14,46000000,206149772
90166800,252149772,293850228,14,14,46000000,206149772
90167300,252149772,293850228,14,14,46000000,206149772
90167800,252149772,293850228,14,14,46000000,206149772
90168300,252149772,293850228,14,14,46000000,206149772
90168800,252149772,293850228,14,14,46000000,206149772
90169300,252149772,293850228,14,14,46000000,206149772
90169800,252149772,293850228,14,14,46000000,206149772
90170300,252149772,293850228,14,14,46000000,206149772
90170800,252149772,293850228,14,14,46000000,206149772
90171300,252149772,293850228,14,14,46000000,206149772
90171800,252149772,293850228,14,14,46000000,206149772
90172300,252149772,293850228,14,14,46000000,206149772
90172800,252149772,293850228,14,14,46000000,206149772
90173300,252149772,293850228,14,14,46000000,206149772
90173800,252149772,293850228,14,14,46000000,206149772
90174300,252149772,293850228,14,14,46000000,206149772
90174800,252149772,293850228,14,14,46000000,206149772
90175300,252149772,293850228,14,14,46000000,206149772
90175800,252149772,293850228,14,14,46000000,206149772
90176300,252149772,293850228,14,14,46000000,206149772
90176800,252149772,293850228,14,14,46000000,206149772
90177300,252149772,293850228,14,14,46000000,206149772
90177800,252149772,293850228,14,14,46000000,206149772
90178300,252149772,293850228,14,14,46000000,206149772
90178800,252149772,293850228,14,14,46000000,206149772
90179300,252149772,293850228,14,14,46000000,206149772
90179800,252149772,293850228,14,14,46000000,206149772
90180300,252149772,293850228,14,14,46000000,206149772
90180800,252149772,293850228,14,14,46000000,206149772
90181300,252149772,293850228,14,14,46000000,206149772
90181800,252149772,293850228,14,14,46000000,206149772
90182300,252149772,293850228,14,14,46000000,206149772
90182800,252149772,293850228,14,14,46000000,206149772
90183300,252149772,293850228,14,14,46000000,206149772
90183800,252149772,293850228,14,14,46000000,206149772
90184300,252149772,293850228,14,14,46000000,206149772
90184800,252149772,293850228,14,14,46000000,206149772
90185300,252149772,293850228,14,14,46000000,206149772
90185800,252149772,293850228,14,14,46000000,206149772
90186300,252149772,293850228,14,14,46000000,206149772
90186800,252149772,293850228,14,14,46000000,206149772
90187300,252149772,293850228,14,14,46000000,206149772
90187800,252149772,293850228,14,14,46000000,206149772
90188300,252149772,293850228,14,14,46000000,206149772
90188800,261693002,286306998,15,15,48000000,213693002
90189300,261693002,286306998,15,15,48000000,213693002
90189800,261693002,286306998,15,15,48000000,213693002
90190300,261693002,286306998,15,15,48000000,213693002
90190800,261693002,286306998,15,15,48000000,213693002
90191300,261693002,286306998,15,15,48000000,213693002
90191800,261693002,286306998,15,15,48000000,213693002
90192300,261693002,286306998,15,15,48000000,213693002
90192800,261693002,286306998,15,15,48000000,213693002
90193300,261693002,286306998,15,15,48000000,213693002
90193800,261693002,286306998,15,15,48000000,213693002
90194300,261693002,286306998,15,15,48000000,213693002
90194800,261693002,286306998,15,15,48000000,213693002
90195300,261693002,286306998,15,15,48000000,213693002
90195800,272592347,278407653,16,16,51000000,221592347
90196300,307796813,246203187,17,17,54000000,253796813
90196800,307796813,246203187,17,17,54000000,253796813
90197300,307796813,246203187,17,17,54000000,253796813
90197800,307796813,246203187,17,17,54000000,253796813
90198300,307796813,246203187,17,17,54000000,253796813
90198800,307796813,246203187,17,17,54000000,253796813
90199300,307796813,246203187,17,17,54000000,253796813
90199800,307796813,246203187,17,17,54000000,253796813
90200300,307796813,246203187,17,17,54000000,253796813
90200800,307796813,246203187,17,17,54000000,253796813
90201300,307796813,246203187,17,17,54000000,253796813
90201800,307796813,246203187,17,17,54000000,253796813
90202300,307796813,246203187,17,17,54000000,253796813
90202800,307796813,246203187,17,17,54000000,253796813
90203300,307796813,246203187,17,17,54000000,253796813
90203800,307796813,246203187,17,17,54000000,253796813
90204300,307796813,246203187,17,17,54000000,253796813
90204800,307796813,246203187,17,17,54000000,253796813
90205300,322545869,235454131,18,18,58000000,264545869
90205800,322545869,235454131,18,18,58000000,264545869
90206300,322545869,235454131,18,18,58000000,264545869
90206800,322545869,235454131,18,18,58000000,264545869
90207300,322545869,235454131,18,18,58000000,264545869
90207800,322545869,235454131,18,18,58000000,264545869
90208300,322545869,235454131,18,18,58000000,264545869
90208800,322545869,235454131,18,18,58000000,264545869
90209300,322545869,235454131,18,18,58000000,264545869
90209800,322545869,235454131,18,18,58000000,264545869
90210300,322545869,235454131,18,18,58000000,264545869
90210800,322545869,235454131,18,18,58000000,264545869
90211300,322545869,235454131,18,18,58000000,264545869
90211800,322545869,235454131,18,18,58000000,264545869
90212300,322545869,235454131,18,18,58000000,264545869
90212800,322545869,235454131,18,18,58000000,264545869
90213300,322545869,235454131,18,18,58000000,264545869
90213800,322545869,235454131,18,18,58000000,264545869
90214300,322545869,235454131,18,18,58000000,264545869
90214800,322545869,235454131,18,18,58000000,264545869
90215300,322545869,235454131,18,18,58000000,264545869
90215800,338342221,223657779,19,19,62000000,276342221
90216300,338342221,223657779,19,19,62000000,276342221
90216800,338342221,223657779,19,19,62000000,276342221
90217300,338342221,223657779,19,19,62000000,276342221
90217800,338342221,223657779,19,19,62000000,276342221
90218300,338342221,223657779,19,19,62000000,276342221
90218800,338342221,223657779,19,19,62000000,276342221
90219300,338342221,223657779,19,19,62000000,276342221
90219800,338342221,223657779,19,19,62000000,276342221
90220300,338342221,223657779,19,19,62000000,276342221
90220800,338342221,223657779,19,19,62000000,276342221
90221300,338342221,223657779,19,19,62000000,276342221
90221800,338342221,223657779,19,19,62000000,276342221
90222300,338342221,223657779,19,19,62000000,276342221
90222800,338342221,223657779,19,19,62000000,276342221
90223300,338342221,223657779,19,19,62000000,276342221
90223800,338342221,223657779,19,19,62000000,276342221
90224300,338342221,223657779,19,19,62000000,276342221
90224800,338342221,223657779,19,19,62000000,276342221
90225300,338342221,223657779,19,19,62000000,276342221
90225800,338342221,223657779,19,19,62000000,276342221
90226300,338342221,223657779,19,19,62000000,276342221
90226800,338342221,223657779,19,19,62000000,276342221
90227300,338342221,223657779,19,19,62000000,276342221
90227800,338342221,223657779,19,19,62000000,276342221
90228300,338342221,223657779,19,19,62000000,276342221
90228800,338342221,223657779,19,19,62000000,276342221
90229300,338342221,223657779,19,19,62000000,276342221
90229800,338342221,223657779,19,19,62000000,276342221
90230300,338342221,223657779,19,19,62000000,276342221
90230800,338342221,223657779,19,19,62000000,276342221
90231300,338342221,223657779,19,19,62000000,276342221
90231800,338342221,223657779,19,19,62000000,276342221
90232300,338342221,223657779,19,19,62000000,276342221
90232800,338342221,223657779,19,19,62000000,276342221
90233300,338342221,223657779,19,19,62000000,276342221
90233800,338342221,223657779,19,19,62000000,276342221
90234300,338342221,223657779,19,19,62000000,276342221
90234800,338342221,223657779,19,19,62000000,276342221
90235300,338342221,223657779,19,19,62000000,276342221
90235800,338342221,223657779,19,19,62000000,276342221
90236300,338342221,223657779,19,19,62000000,276342221
90236800,338342221,223657779,19,19,62000000,276342221
90237300,338342221,223657779,19,19,62000000,276342221
90237800,338342221,223657779,19,19,62000000,276342221
90238300,338342221,223657779,19,19,62000000,276342221
90238800,338342221,223657779,19,19,62000000,276342221
90239300,338342221,223657779,19,19,62000000,276342221
90239800,338342221,223657779,19,19,62000000,276342221
90240300,338342221,223657779,19,19,62000000,276342221
90240800,338342221,223657779,19,19,62000000,276342221
90241300,338342221,223657779,19,19,62000000,276342221
90241800,338342221,223657779,19,19,62000000,276342221
90242300,338342221,223657779,19,19,62000000,276342221
90242800,338342221,223657779,19,19,62000000,276342221
90243300,338342221,223657779,19,19,62000000,276342221
90243800,338342221,223657779,19,19,62000000,276342221
90244300,338342221,223657779,19,19,62000000,276342221
90244800,338342221,223657779,19,19,62000000,276342221
90245300,338342221,223657779,19,19,62000000,276342221
90245800,338342221,223657779,19,19,62000000,276342221
90246300,338342221,223657779,19,19,62000000,276342221
90246800,338342221,223657779,19,19,62000000,276342221
90247300,338342221,223657779,19,19,62000000,276342221
90247800,338342221,223657779,19,19,62000000,276342221
90248300,338342221,223657779,19,19,62000000,276342221
90248800,338342221,223657779,19,19,62000000,276342221
90249300,338342221,223657779,19,19,62000000,276342221
90249800,338342221,223657779,19,19,62000000,276342221
90250300,338342221,223657779,19,19,62000000,276342221
90250800,338342221,223657779,19,19,62000000,276342221
90251300,338342221,223657779,19,19,62000000,276342221
90251800,338342221,223657779,19,19,62000000,276342221
90252300,338342221,223657779,19,19,62000000,276342221
90252800,338342221,223657779,19,19,62000000,276342221
90253300,338342221,223657779,19,19,62000000,276342221
90253800,338342221,223657779,19,19,62000000,276342221
90254300,338342221,223657779,19,19,62000000,276342221
90254800,338342221,223657779,19,19,62000000,276342221
90255300,338342221,223657779,19,19,62000000,276342221
90255800,338342221,223657779,19,19,62000000,276342221
90256300,338342221,223657779,19,19,62000000,276342221
90256800,338342221,223657779,19,19,62000000,276342221
90257300,338342221,223657779,19,19,62000000,276342221
